t,Symbol(beta),Symbol(betaD),Symbol(theta),Symbol(thetaD),Symbol(theta_m),Symbol(beta_c),
4.72,0.08223105075886714,0.5939617118141143,-0.19060621721953577,-0.5745951659744165,-0.09251227939173112,0.09251227939173112,
4.73,0.08817066787700828,0.5867232270856014,-0.19635216887927995,-0.5663813251307769,-0.09831569056807274,0.09831569056807274,
4.74,0.0940379001478643,0.5788746649778531,-0.20201598213058772,-0.5575756779808335,-0.10403614195189359,0.10403614195189359,
4.75,0.09982664679764283,0.5704225156605318,-0.20759173891039606,-0.5481857416568351,-0.10966765629950001,0.10966765629950001,
4.76,0.10553087195424815,0.5613739062395947,-0.2130735963269644,-0.5382196488579132,-0.11520433229023405,0.11520433229023405,
4.7700000000000005,0.1111446110166441,0.5517365927543461,-0.21845579281554353,-0.5276861386333418,-0.12064035074369897,0.12064035074369897,
4.78,0.11666197694418755,0.5415189514009912,-0.22373265420187696,-0.5165945464557038,-0.12596998074389573,0.12596998074389573,
4.79,0.12207716645819747,0.5307299690132051,-0.228898599666434,-0.5049547936170166,-0.13118758566309835,0.13118758566309835,
4.8,0.12738446614832952,0.519379232832071,-0.23394814760260416,-0.4927773759822676,-0.1362876290786302,0.1362876290786302,
4.8100000000000005,0.13257825847665022,0.507476919599395,-0.23887592136242683,-0.48007335213594865,-0.1412646805760511,0.1412646805760511,
4.82,0.13765302767264417,0.4950337840097277,-0.24367665488378631,-0.4668543309580402,-0.14611342143262418,0.14611342143262418,
4.83,0.14260336551274144,0.4820611465575527,-0.24834519819336673,-0.4531324586664868,-0.15082865017530037,0.15082865017530037,
4.84,0.14742397697831697,0.468570880816865,-0.2528765227800316,-0.4389204053635177,-0.1554052880078319,0.1554052880078319,
4.8500000000000005,0.15210968578648562,0.45457540019093245,-0.2572657268336668,-0.4242313511232046,-0.15983838410200343,0.15983838410200343,
4.86,0.15665543978839494,0.44008764417022866,-0.26150804034489883,-0.40907897165741824,-0.1641231207483478,0.1641231207483478,
4.87,0.16105631623009722,0.4251210641365555,-0.265598830061473,-0.39347742359684623,-0.16825481836208775,0.16825481836208775,
4.88,0.16530752687146277,0.4096896087510068,-0.26953360429744144,-0.3774413294229859,-0.17222894034041583,0.17222894034041583,
4.89,0.16940442295897284,0.39380770896287653,-0.2733080175916713,-0.3609857620860286,-0.176041097767588,0.176041097767588,
4.9,0.1733425000486016,0.3774902626758252,-0.2769178752125316,-0.344126229342325,-0.17968705396465692,0.17968705396465692,
4.91,0.17711740267535986,0.36075261910644313,-0.2803591375059548,-0.3268786578436797,-0.18316272888101434,0.18316272888101434,
4.92,0.1807249288664243,0.34361056286911285,-0.28362792408439164,-0.30925937700908035,-0.18646420332523553,0.18646420332523553,
4.93,0.18416103449511542,0.3260802978196266,-0.28672051785448244,-0.2912851027076471,-0.18958772303302726,0.18958772303302726,
4.94,0.18742183747331168,0.30817843068800277,-0.2896333688815589,-0.2729729207796056,-0.19252970257037447,0.19252970257037447,
4.95,0.1905036217801917,0.2899219545294579,-0.29236309808935496,-0.2543402704199668,-0.1952867290702485,0.1952867290702485,
4.96,0.19340284132548627,0.2713282320200987,-0.2949065007935546,-0.2354049274473631,-0.1978555658014902,0.1978555658014902,
4.97,0.19611612364568726,0.25241497862183876,-0.29726055006802826,-0.2161849874781583,-0.20023315556870855,0.20023315556870855,
4.98,0.19864027343190566,0.2332002456387431,-0.29942239994280984,-0.1966988490235544,-0.20241662394223794,0.20241662394223794,
4.99,0.20097227588829308,0.2137024031846185,-0.30138938843304536,-0.17696519652497344,-0.20440328231737578,0.20440328231737578,
5,0.20310929992013926,0.19394012307913766,-0.3031590403982951,-0.15700298334053267,-0.20619063080227804,0.20619063080227804,
5.01,0.20504870115093063,0.1739323616873858,-0.3047290702317004,-0.13683141469297105,-0.20777636093401744,0.20777636093401744,
5.0200000000000005,0.20678802476780447,0.1536983427150689,-0.30609738437863016,-0.11646993058695845,-0.20915835822241644,0.20915835822241644,
5.03,0.20832500819495517,0.13325753996935713,-0.30726208368449975,-0.09593818870134077,-0.21033470452134476,0.21033470452134476,
5.04,0.20965758359464873,0.11262966009261074,-0.30822146557151314,-0.07525604725957565,-0.21130368022722826,0.21130368022722826,
5.05,0.21078388019557484,0.09183462527397834,-0.3089740260441089,-0.05444354787941115,-0.21206376630454996,0.21206376630454996,
5.0600000000000005,0.21170222644831463,0.07089255594153164,-0.309518461522903,-0.03352089840077967,-0.21261364613813202,0.21261364613813202,
5.07,0.21241115200772995,0.049823753435330714,-0.3098536705069108,-0.012508455688939102,-0.2129522072119799,0.2129522072119799,
5.08,0.21290938954208324,0.028648682659758506,-0.3099787550638002,0.00857329159188545,-0.21307854261443818,0.21307854261443818,
5.09,0.21319587636868084,0.007387954711544537,-0.30989302214788134,0.02970374024070744,-0.21299195236936017,0.21299195236936017,
5.1000000000000005,0.21326975591579628,-0.013937690521910628,-0.3095959847454743,0.050862189825585685,-0.21269194459292903,0.21269194459292903,
5.11,0.21313037901057716,-0.03530740180087415,-0.30908736284721844,0.07202786004198222,-0.21217823647569065,0.21217823647569065,
5.12,0.21277730499256842,-0.056700234016630525,-0.3083670842467986,0.09317990813359439,-0.21145075508926656,0.21145075508926656,
5.13,0.21221030265240212,-0.07809516572932247,-0.30743528516546265,0.11429744638632335,-0.21050963801711728,0.21050963801711728,
5.14,0.2114293509951089,-0.09947111677071184,-0.3062923107015994,0.135359559706537,-0.2093552338086154,0.2093552338086154,
5.15,0.2104346398274018,-0.12080696592309875,-0.304938715104534,0.15634532329503004,-0.20798810225557937,0.20798810225557937,
5.16,0.2092265701681708,-0.1420815686858629,-0.3033752618715837,0.177233820428072,-0.20640901449029955,0.20640901449029955,
5.17,0.2078057544813122,-0.16327377514145722,-0.30160292366730296,0.19800416035666402,-0.204618952903976,0.204618952903976,
5.18,0.20617301672989763,-0.18436244793254222,-0.29962288206373633,0.21863549633459275,-0.2026191108843737,0.2026191108843737,
5.19,0.2043293922505722,-0.20532648036162593,-0.2974365271003904,0.23910704378508058,-0.20041089237139434,0.20041089237139434,
5.2,0.20227612744695594,-0.22614481462398645,-0.2950454566625396,0.2593980986147838,-0.19799591122916502,0.19799591122916502,
5.21,0.2000146793007161,-0.24679646018374019,-0.2924514756763918,0.2794880556825944,-0.1953759904331557,0.1953759904331557,
5.22,0.1975467146988787,-0.26726051230181613,-0.2896565951195659,0.29935642742916174,-0.1925531610707615,0.1925531610707615,
5.23,0.19487410957586052,-0.28751617072328045,-0.2866630308452743,0.3189828626712791,-0.18952966115372702,0.18952966115372702,
5.24,0.1919989478686277,-0.3075427585297483,-0.2834732022185615,0.3383471655632874,-0.18630793424074707,0.18630793424074707,
